Questions,Answers,Links/Screenshots/Notes,Approved,FAQ Utterances,Keyword Utterances,Category
How do I set up my visual voicemail greeting on my iOS phone?,"As you activate your service, visual voicemail is enabled by default for your use. You can set up your voicemail greeting with visual voicemail by following these steps: 

1. Launch the ""Phone"" app on your iOS phone. 

2. At the bottom right corner of the screen, you'll spot the ""Voicemail"" icon. Give it a tap to access your voicemail. 

3. If you're creating a voicemail greeting for the first time, you'll receive a prompt to set one up. Just tap ""Set Up Now"" or an equivalent option. If you wish to modify an existing greeting, look for ""Greeting"" or ""Custom"" (terminology may vary). 

4. You'll be provided with the opportunity to record a personalized greeting. Tap ""Record"" or a similar choice. Follow the prompts, speak clearly and concisely, then tap ""Stop"" when you're done. You can preview the recording to ensure it sounds just the way you want it to. 

5. After recording, tap ""Save"" to preserve your custom greeting. 

6. Give your greeting one last listen to make sure it's perfect. If it meets your approval, go ahead and confirm it. 

7. With your greeting saved, you can exit the voicemail settings. Your new greeting is now active. 

Keep in mind that the precise steps and terminology might slightly differ based on your iOS version and carrier. If you run into any issues, consult your phone's user manual or contact our Lyca Mobile customer service at 1-866-277-3221 for assistance. ",,Yes,"['How can I set a custom greeting for visual voicemail on my iPhone?', 'What steps are needed to change my visual voicemail greeting on iOS?', 'Is it possible to personalize my voicemail greeting on an iOS device?', 'How do I record and set a voicemail greeting on my iPhone?', 'Can I update my visual voicemail greeting directly from my iPhone settings?']","['Visual Voicemail Greeting setup', 'Visual Voicemail customization', 'Visual Voicemail iOS settings', 'Visual Voicemail Personalization']",Voicemail
How do I set up my visual voicemail greeting on my Android phone?,"As you activate your service, visual voicemail is enabled by default for your use. You can set up your voicemail greeting with visual voicemail by following these steps: 

1. Find and open the “Voicemail” or “Visual Voicemail” app on your Android phone. If you can’t locate this app, it may be integrated into your “Phone” app. 

2. Within the voicemail app, tap the three-dot menu icon or look for the “Settings” option. 

3. Look for a menu related to your voicemail greeting. It could be labeled as “Greeting” or “Personalize Greeting.” 

4. You’ll usually find an option to record a personalized greeting. Tap “Record” or a similar choice. Follow the prompts to record your custom greeting. Speak clearly and concisely and tap “Stop” when you're done. 

5. After recording, tap “Save” or “Set” to save your custom greeting. 

6. Listen to your greeting one more time to confirm its accuracy. If it’s as you want it, confirm it. 

7. Once your greeting is saved, exit the voicemail settings. Your new greeting is now active. 

If you can’t locate the voicemail settings or encounter any difficulties, consult your phone’s user manual or contact our Lyca Mobile customer service at 1-866-277-3221 for assistance. Keep in mind that the steps and options might vary depending on your Android version and the manufacturer of your phone. ",,Yes,"['What are the steps to set up a visual voicemail greeting on Android?', 'How can I record a custom voicemail greeting on my Android phone?', 'Is it possible to change the voicemail greeting on Android devices?', 'How do I personalize my voicemail greeting on an Android phone?', 'Can I update my visual voicemail greeting directly from Android settings?']","['visual voicemail Android', 'visual voicemail Greeting setup', 'visual Voicemail recording', 'visual voicemail Personalization', 'visual voicemail Android settings']",Voicemail
 Will enabling/disabling visual voicemail on my phone erase my previous voicemail data? ,"Yes, enabling or disabling visual voicemail on your phone will erase your previously unheard voicemail data. Visual voicemail and standard voicemail are usually separate systems managed by your mobile carrier. Enabling visual voicemail typically involves setting up a new voicemail inbox on your phone to manage messages visually.",,Yes,"['Does enabling or disabling visual voicemail delete my saved voicemails?', 'Will turning off visual voicemail remove any old messages on my phone?', 'Can I lose voicemails when I enable or disable visual voicemail?', 'What happens to my voicemails when I disable visual voicemail?', 'Is my voicemail data erased if I turn off the visual voicemail feature?']","['Voicemail data', 'Voicemail data security', 'Voicemail data erased']",Voicemail
Can I switch to standard voicemail from visual voicemail?  ,"Yes, you can switch to standard voicemail anytime you wish to, but please be aware that you could lose your previously unheard visual voicemails. To disable visual voicemail, please reach out to our Lyca Mobile customer service at 1-866-277-3221 for assistance. ",,Yes,"['How do I switch from visual voicemail to standard voicemail?', 'Can I revert back to standard voicemail after using visual voicemail?', 'What steps are required to disable visual voicemail and use standard voicemail?', 'Is it possible to switch from visual voicemail to a basic voicemail service?', 'Will switching to standard voicemail delete my visual voicemail messages?']","['move from standard voicemail from visual voicemail', 'change to visual voicemail', '']",Voicemail
Will enabling visual voicemail disable standard voicemail on my phone?   ,"Yes, activating visual voicemail on your phone typically replaces the standard voicemail system. This means you will be able to manage your voicemails through a visual interface instead of dialing a number to access them. Any messages stored in the standard voicemail system will no longer be accessible through your phone once visual voicemail is enabled. ",,Yes,"['Does enabling visual voicemail affect the functionality of standard voicemail?', 'Will turning on visual voicemail automatically disable traditional voicemail?', 'Can I use both visual voicemail and standard voicemail at the same time?', 'What happens to my standard voicemail when I enable visual voicemail?', 'Does activating visual voicemail override the regular voicemail system on my phone?']","['', 'Service conflict', 'Voicemail system', 'Phone settings']",Voicemail
What should I do if visual voicemail is not working on my iOS phone?  ,"If you're having trouble with visual voicemail on your iOS phone, try these steps to troubleshoot: 

Step 1: Restart your phone: 

- Press and hold the side button and volume button until the power off slider appears. 

- Drag the slider to turn off your phone. 

- Wait for about 10 seconds, then press and hold the side button again until you see the Apple logo to turn it back on. 

Step 2: Check through the phone app: 

- Open the Phone app. 

- Click on the Voicemail tab to access your voicemail inbox. 

If these steps don't fix the problem, please reach out to our Lyca Mobile customer service at 1-866-277-3221 for further assistance. ",,Yes,"[""What troubleshooting steps can I take if visual voicemail isn't working on my iPhone?"", 'How can I fix visual voicemail issues on my iOS device?', ""Why isn't my visual voicemail showing up on my iPhone, and how can I resolve it?"", ""What should I check if my visual voicemail isn't syncing properly on my iPhone?"", ""Is there a quick fix if my iPhone's visual voicemail is not responding?""]","['Visual voicemail not working in IOS', 'Visual voicemail not working in Iphone']",Voicemail
How do I enable or disable visual voicemail on my phone? ,"To enable or disable visual voicemail, please contact our Lyca Mobile customer service at 1-866-277-3221.

Please note that visual voicemail is enabled by default when your line is first activated.",,Yes,"['What steps should I follow to enable visual voicemail on my phone?', 'How can I turn off visual voicemail on my mobile device?', 'Can I easily disable visual voicemail through phone settings?', 'What is the process for activating visual voicemail on my phone?', 'Where can I find the option to manage visual voicemail on my device?']","['Enable Visual voicemail', 'Disable Visual voicemail ']",Voicemail
Why should I use visual voicemail on my iOS phone?,"Visual voicemail provides a convenient way to view and manage voicemails directly on your iPhone's screen. Instead of dialing in to listen to messages one by one, you can simply tap the voicemail icon to access a list of all your voicemails. This allows for quick scanning and easy management of messages with just a few taps.  

If you still decide you don't want to use visual voicemail, you can disable it by contacting our Lyca Mobile customer service at 1-866-277-3221. ",,Yes,"['What are the benefits of using visual voicemail on my iPhone?', 'How does visual voicemail improve voicemail management on iOS?', 'Why is visual voicemail a more efficient option on iOS devices?', 'What features make visual voicemail useful for iPhone users?', 'How can visual voicemail enhance my voicemail experience on iOS?']",['Visual voicemail use in Iphone'],Voicemail
Does visual voicemail work when data roaming is turned off while traveling abroad?   ,"Yes, even with data roaming turned off while traveling outside your home country, visual voicemail will still notify you when new voicemails are received.",,Yes,"['Can I access visual voicemail without data roaming enabled while abroad?', 'How does turning off data roaming affect visual voicemail usage overseas?', 'Will visual voicemail still function if I disable data while traveling internationally?', 'Is it possible to use visual voicemail when not connected to roaming data?', 'What impact does disabling data roaming have on visual voicemail service abroad?']","['roaming Visual voicemail ', 'Global Visual voicemail ']",Voicemail
How do I access visual voicemail on my iOS phone?   ,"To access visual voicemail on your iOS phone, follow these steps: 

1. Open the Phone app: Tap on the Phone icon on your iPhone's home screen. 

2. Navigate to voicemail: At the bottom right corner of the Phone app, tap on the Voicemail tab. 

Here you will see a list of your voicemail messages. Each message will display the caller's name or number (if available) and the time the message was received. Tap on a voicemail message to listen to it. You can play, pause, rewind, or delete voicemails as needed. From the voicemail screen, you can also call back the person who left the message or delete messages you no longer need. 

That's it! You can now easily access and manage your voicemail messages using visual voicemail on your iOS phone. ",,Yes,"['Where can I find visual voicemail on my iPhone?', 'What steps do I need to follow to check visual voicemail on my iOS device?', 'How do I listen to visual voicemail messages on my iPhone?', 'Can I manage my visual voicemail messages through the iPhone interface?', 'What options are available for accessing visual voicemail on iOS?']",['Access Visual voicemail in Iphone'],Voicemail
How do I access visual voicemail on my Android phone?   ,"To access visual voicemail on your Android phone, follow these general steps. Keep in mind that the exact steps may vary slightly depending on your phone model and operating system: 

  

1. Open the phone app: Tap on the Phone icon on your Android phone's home screen. 

2. Access voicemail: Look for the Voicemail tab or icon. Depending on your phone, this may be located at the bottom of the screen or within the menu accessed via the three-dot icon (More options). 

  

Here, you will see a list of your voicemail messages. Each message typically displays the caller's information (if available) and the time of the message. 

  

Simply tap on a voicemail message to listen to it. You can play, pause, rewind, or delete voicemail messages as needed. From the voicemail screen, you can also call back the person who left the message or delete messages you no longer need. 

  

That's it! You should now be able to access and manage your voicemail messages using visual voicemail on your Android phone. If you encounter any issues or if these steps don’t match exactly with your phone, consult your phone’s user manual or contact our Lyca Mobile customer service at 1-866-277-3221. ",,Yes,"['Where is visual voicemail located on my Android device?', 'How can I check my visual voicemail messages on Android?', 'What steps should I follow to access visual voicemail on Android?', 'Can I use an app to manage visual voicemail on my Android phone?', 'What options do I have for accessing visual voicemail on Android?']",['Access Visual voicemail in Android'],Voicemail
"After activating my Lyca Mobile service, will I be able to access my voicemails immediately? ","Absolutely! Voicemail becomes accessible immediately upon activation of your Lyca Mobile services. You can tailor your voicemail greeting or establish a password if desired. Alternatively, you can deactivate it whenever you wish based on your preferences. Discover the process for setting up voicemail greetings here.

Kindly note that your previous voicemails will become inaccessible.",Link to Voicemail password setup FAQ in row 23 of this tab.,Yes,"['Can I start accessing voicemails right after activating my Lyca Mobile service?', 'How soon after activation can I check my voicemails on Lyca Mobile?', 'What should I do to access my voicemails after Lyca Mobile service activation?', 'Is there a waiting period before voicemails are available on my Lyca Mobile account?', 'Will my voicemail service be ready immediately after activating Lyca Mobile?']",['Access voicemail after sim activation'],Voicemail
How do I set up my voicemail? ,"Setting up your voicemail with Lyca Mobile is simple. Just follow these steps:

1. Launch the phone app on your phone.

2. Long-press “1” on your phone’s dial pad to enter the voicemail menu.

3. Follow the voice prompts:
   - Choose your preferred language.
   - Create your voicemail password when prompted.
   - Enter your 7-digit voicemail password followed by the pound (#) key.

Note: Make sure your password is exactly 7 digits long for optimal security.",Screenshot,Yes,"['What steps should I follow to set up voicemail on my mobile device?', 'How do I configure my voicemail greeting on my phone?', 'What is the process to activate and set up voicemail on my mobile?', 'Can I customize my voicemail settings and greeting?', 'How can I ensure my voicemail is set up correctly on my phone?']","['Set voicemail', 'configure voicemail']",Voicemail
What kind of voicemail password should I set?,Ensure your voicemail password meets the exact requirement of 7 digits. Verify this during the setup process.,,Yes,"['What are the best practices for creating a voicemail password?', 'How secure should my voicemail password be?', 'Should I use a simple or complex password for voicemail security?', 'What length and format should my voicemail password follow?', 'Is it important to change my voicemail password regularly?']",['Set voicemail password'],Voicemail
How do I change my voicemail password? ,"Changing your voicemail password is straightforward. Here's how you can do it:

1. Open the phone app on your phone.
2. Long-press “1” on your phone’s dial pad to access the voicemail menu.
3. Follow the voice prompts.
4. Select 'admin options' when prompted.
5. Choose the password option.
6. Enter your new password.
7. Press the pound (#) key to confirm the change.

Note: Your password must consist of 7 digits.

Once the password is removed, follow the same steps mentioned above to set a new password.",Screenshot,Yes,"['What steps do I need to follow to change my voicemail password?', 'How can I reset my voicemail password on my mobile device?', 'Is it possible to update my voicemail password through phone settings?', 'What should I do if I forget my voicemail password and need to reset it?', ""Can I change my voicemail password directly from my carrier's app?""]",['Voicemail Password change'],Voicemail
What should I do if I forget my voicemail password? ,"If you happen to forget your voicemail password, please contact our Lyca Mobile customer service at 1-866-277-3221 for assistance with resetting or recovering your password.",,Yes,"['How can I recover my voicemail password if I forget it?', 'What steps should I take to reset a forgotten voicemail password?', ""Can I reset my voicemail password using my mobile carrier's service?"", 'How do I access voicemail if I can’t remember my password?', 'Is there a way to retrieve or reset my voicemail password without calling support?']","['Forgot voicemail password', 'Reset voicemail password', '']",Voicemail
What should I do if I encounter issues while changing my voicemail password? ,"If you face difficulties while changing your voicemail password, try these troubleshooting steps:

1. Dial the voicemail number.
2. Press 4 for personal options.
3. Press 2 for administrative options.
4. Press 1 to change the password.
5. Enter a new password and press #. Alternatively, press 2 to toggle the password off or on.

Please remember:
Ensure your new password contains exactly 7 digits.

If problems persist, feel free to reach out to our Lyca Mobile customer service at 1-866-277-3221 for additional support.",,Yes,"['What troubleshooting steps should I follow if I have trouble changing my voicemail password?', 'How can I resolve issues when attempting to update my voicemail password?', ""What should I do if my voicemail password change isn't processing correctly?"", 'Is there a solution for voicemail password errors during the change process?', 'Can I contact support if I face problems changing my voicemail password?']",['Voicemail password issue'],Voicemail
Can I change my phone after activating my line? ,"Yes, you can change your phone after activating your line. However, to avoid any connectivity issues, make sure that the new phone is compatible with Lyca Mobile service.",,Yes,"['Is it possible to switch phones after activating my mobile service?', 'What should I do if I want to change my phone after activating my line?', 'Can I transfer my mobile service to a new phone after activation?', 'Will I need to reactivate my line if I change my phone?', 'How do I ensure my new phone works with my activated mobile line?']","['Change mobile', 'Swap mobile']",Device change
I recently changed my phone and now I am facing network connectivity issues. What should I do? ,"If you are experiencing network connectivity issues after changing your phone, follow these steps: 

1. Restart your phone: This can often resolve connectivity problems.  

2. Check phone compatibility: Ensure that your new phone is compatible with Lyca Mobile services. Click here to learn more about compatible phones and necessary APN settings. 

3. Adjust APN settings: If your phone is operating on an older OS version, it may still be compatible after making adjustments to the APN settings. Instructions for adjusting APN settings can be found here. 

4. Contact support: If restarting your phone and adjusting the APN settings do not resolve the issue, please call our customer support at 1-866-277-3221 for further assistance. ",,Yes,"['What steps can I take to fix network connectivity issues after changing my phone?', 'How can I troubleshoot network problems on my new phone?', 'Why am I facing connectivity issues on my new phone, and how can I resolve them?', 'What should I check if my new phone isn’t connecting to the network properly?', 'Is there a setting I need to adjust to restore network connectivity on my new phone?']",[''],Device change
"If I get a new phone and want to put my Lyca Mobile SIM card in it, will it start working automatically, or do I need to change any settings in the app?","
Your Lyca Mobile SIM card should activate automatically upon insertion into a new phone, granted the phone is unlocked, compatible, and running the latest operating system version. For further information regarding compatible phones and operating systems, please refer to this link.",LINK to APN category,Yes,"['Will my Lyca Mobile SIM card work automatically when I insert it into my new phone?', 'Do I need to adjust any settings to make my Lyca Mobile SIM work on my new phone?', 'What steps should I take to ensure my Lyca Mobile SIM works on my new phone?', 'Can I use my existing Lyca Mobile SIM without any app changes on a new phone?', 'Is there any setup required in the Lyca Mobile app when switching to a new phone?']",[''],Device change
What is an ICCID (integrated circuit card identification) number?,"ICCID (integrated circuit card identifier) is a unique 19- to 20-digit identification number assigned to your SIM card. It plays a crucial role in your SIM’s functionality and mobile network connection.

Here's what you need to know about ICCID:
Unique identification – Each SIM card has a distinct ICCID, allowing network providers to identify and manage individual subscribers.
Activation – During SIM activation, the ICCID links your SIM to your mobile number and account, enabling calls, texts, and data services.
SIM card details – The ICCID contains information such as the SIM’s country of origin and issuing carrier.
Finding your ICCID – It is usually printed on the SIM card, the packaging, or can be found in your device settings. If purchased online, your order confirmation email for a prepay plan + free SIM kit will include the ICCID details.
Why it matters – Knowing your ICCID helps with troubleshooting, activating new SIM cards, and porting your number when switching providers.",,Yes,"['What does ICCID stand for?', 'How can I find my ICCID number?', 'Is ICCID the same as IMEI?', 'Can I change my ICCID number?', 'Why is ICCID important for mobile networks?']","['ICCID', 'Sim card number', 'SIM card ID', 'ICCID format']",Device change
How to retrieve your Lyca Mobile number?,"If you have activated your SIM card or eSIM, you can find your Lyca Mobile number by following these steps:

Log in to your account – Visit the Lyca Mobile website or open the Lyca Mobile app and sign in.
Check the home page – Your mobile number will be displayed next to your primary line or one of your secondary lines if applicable.
Check your activation email – If you recently activated your SIM card or eSIM, your Lyca Mobile number will be included in the activation confirmation email.
If your SIM card or eSIM has not been activated yet, you will need to complete the activation process before retrieving your number.

For further assistance, contact Lyca Mobile customer support.",,Yes,"['How can I check my Lyca Mobile number?', 'Where to find my Lyca Mobile number?', 'Can I retrieve my Lyca Mobile number online?', 'How do I view my Lyca Mobile number through my phone?', 'What to do if I can’t find my Lyca Mobile number?']","['View Lyca Mobile number', 'Get Lyca Mobile number']",Device change
What are the plans offered on Lyca Mobile? ,Lyca Mobile offers a range of plans to suit different needs. Click here to explore the mobile plans and latest offers.,"Table depicting plans, link to nutrition label.",Yes,"['What are the current plans available on Lyca Mobile?', 'How do I choose the right plan on Lyca Mobile?', 'What’s included in Lyca Mobile’s prepaid plans?', 'Which Lyca Mobile plan offers the most data?', 'Are there any special offers on Lyca Mobile plans?']","['Mobile plan options', 'Lyca Mobile services', 'Prepaid plans', 'Data packages', 'International calling plans']",Plans
What features are included in my Lyca Mobile service?,"Lyca Mobile plans offer a comprehensive set of features tailored to meet your communication requirements:

1. Unlimited talk and text.
2. Nationwide coverage utilizing 5G and 4G networks.
3. Wi-Fi Calling capabilities.
4. No long-term contracts.

You have the flexibility to keep your current number by porting it to Lyca Mobile or opt for a new one. Moreover, enjoy convenient International Calling and Roaming services whenever necessary. To know more about Lyca Mobile plans, click here. ",Nutrition label link,Yes,"['What benefits come with Lyca Mobile services?', 'How can I manage my Lyca Mobile account?', 'Does Lyca Mobile offer voicemail?', 'What are the international features on Lyca Mobile?', 'How reliable is the Lyca Mobile network?']","['Lyca Mobile plans', 'SIM card services', 'Mobile service features', 'Account management', 'International calling']",Plans
Can I change my plan in the middle of my bill cycle? And when will my new plan be active?,Certainly! You can request a plan upgrade or downgrade anytime during your bill cycle for your line or any other line in your account. Please note that plan upgrades can happen immediately or in the next bill cycle. Whereas plan downgrades can take effect only from the next bill cycle.,,Yes,"['Can I switch my Lyca Mobile plan mid-cycle?', 'When does my new Lyca Mobile plan become active?', 'What happens if I change my Lyca Mobile plan before the billing cycle ends?', 'Is it possible to change my Lyca Mobile plan anytime?', 'How do I change my Lyca Mobile plan during a billing cycle?']","['Billing cycle', 'Plan change', '']",Plans
What if I hit my plan's data limit?,"If you hit your data limit/quota for unlimited plans, your speeds will be reduced. For limited plans, data access will be cut off.

Rest assured, you’re covered even if you exceed your data allowance. Here’s what to expect:

Standard pay-as-you-go rates
If you use up your data before your plan expires, additional usage will be charged at standard pay-as-you-go rates. You can find these rates in your plan’s terms and conditions.

Ways to stay in control
To avoid extra charges and manage your data effectively, you have two options:

Purchase a data add-on – Get extra data by selecting a one-time data add-on through the quick recharge page. Choose a plan that suits your needs and complete the payment to continue browsing.
Upgrade your plan – If you frequently run out of data, upgrading to a plan with a higher allowance may be the best option for uninterrupted service.
By taking these steps, you can stay connected without unexpected charges while maintaining complete control over your data usage.",Nutrition label link,Yes,"['What happens when I exceed my data limit on Lyca Mobile?', 'How can I prevent exceeding my data limit on Lyca Mobile?', 'Does Lyca Mobile charge extra if I go over my data limit?', 'Can I upgrade my plan if I hit my data limit?', 'How can I check my data usage on Lyca Mobile?']",[''],Plans
How many lines can I add to my account? ,"You can add up to three lines to your account, including your own.",,Yes,"['How many SIM cards can I add to my Lyca Mobile account?', 'Can I add multiple lines to my Lyca Mobile account?', 'Is there a limit to the number of lines I can have on Lyca Mobile?', 'How do I add extra lines to my Lyca Mobile account?', 'Can I manage multiple lines under one Lyca Mobile account?']",[''],Plans
Is there any activation fee?,"No, there is no activation fee.",,Yes,"['Is there an activation fee for Lyca Mobile services?', 'Do I need to pay any fees to activate my Lyca Mobile SIM card?', 'How much does it cost to activate a Lyca Mobile number?', 'Are there any hidden activation charges for Lyca Mobile?', 'Is there a charge for activating a Lyca Mobile account?']",[''],Plans
"Can I share the talk, text and data from my plan with other lines in my account?","No, all the Lyca Mobile plans are meant for individual users only. To know more about Lyca Mobile plans, click here. ",Nutrition label link,Yes,"['Can I share my talk, text, and data on Lyca Mobile with other lines?', ""Is there an option to share my plan's resources with multiple lines on Lyca Mobile?"", 'How do I share data, talk, and text from my Lyca Mobile plan?', 'Can I add multiple users to share the benefits of my Lyca Mobile plan?', 'Is sharing talk, text, and data possible on Lyca Mobile family plans?']","['Sharing plan', 'Multiple lines']",Plans
"Does my remaining talk, text and data roll over to the next month?","With Lyca Mobile plans, you get unlimited talk and text each renewal cycle. However, please note that your remaining data for the current month does not roll over to the next month. To know more about Lyca Mobile plans, click here. ",Nutrition label link,Yes,"['Does my remaining talk, text, and data roll over to the next month on Lyca Mobile?', 'Can I carry over unused talk, text, and data to the next billing cycle?', 'Will my unused data and minutes transfer to the next month?', 'Is there a rollover feature for talk, text, and data on Lyca Mobile?', 'How can I retain unused data and talk for the next month?']","['Data rollover', 'Unused allowance', 'Talk and text', 'Lyca Mobile policy', 'Billing cycle']",Plans
How long is my plan valid for?,Check out validity and other details of your selected plans here.,Nutrition label link,Yes,"['What is the validity period of my Lyca Mobile plan?', 'How long does a Lyca Mobile plan last?', 'When does my Lyca Mobile plan expire?', 'Is there an expiration date for my Lyca Mobile plan?', 'How can I check the validity of my Lyca Mobile plan?']","['Plan validity', 'Expiration date']",Plans
Is hotspot functionality included with Lyca Mobile services?,"Yes, all Lyca Mobile plans come with Hotspot functionality enabled. To know more about Lyca Mobile plans, click here. ",Nutrition label link,Yes,"['Does Lyca Mobile offer hotspot functionality?', 'Can I use my Lyca Mobile plan for a hotspot?', 'Is tethering available with my Lyca Mobile plan?', 'Does Lyca Mobile support mobile hotspot features?', 'How do I enable hotspot on my Lyca Mobile?']","['Hotspot', 'tethering']",Plans
Does my plan roll over?,"No, each plan remains active only for a duration of the respective plan validity. To know more about Lyca Mobile plans, click here. ",Nutrition label link,Yes,"['Does my Lyca Mobile plan roll over to the next month?', 'Can I roll over unused minutes and data on Lyca Mobile?', 'Is there a rollover option for my Lyca Mobile plan?', 'Do unused benefits in my Lyca Mobile plan carry over?', 'How do I know if my Lyca Mobile plan includes rollover?']","['Plan rollover', 'Unused benefits', 'Data rollover']",Plans
Can I choose a different Lyca Mobile plan for each line on my account? ,"Absolutely, you can choose any plan that suits the individual lines on your account. To know more about Lyca Mobile plans, click here. ",Nutrition label link,Yes,"['Can I select a different Lyca Mobile plan for each line on my account?', 'Is it possible to have multiple plans for different lines under one Lyca Mobile account?', 'Can each line on my Lyca Mobile account have a customized plan?', 'How do I choose different plans for various lines on my Lyca Mobile account?', 'Are there any restrictions on selecting different plans for each line on Lyca Mobile?']",[''],Plans
Will I be charged if I leave Lyca Mobile in the middle of the bill cycle?,"
No, there are no charges for leaving Lyca Mobile. However, please be aware that you will not receive a refund for the remaining month's plan or any unused data pack.",,Yes,"['Will I incur charges if I cancel my Lyca Mobile plan mid-cycle?', 'Are there cancellation fees if I leave Lyca Mobile before my billing cycle ends?', 'What happens if I switch from Lyca Mobile in the middle of my billing cycle?', 'Do I get refunded if I leave Lyca Mobile mid-billing cycle?', 'Is there any fee for discontinuing Lyca Mobile service before the billing period ends?']",[''],Usage
"My line was suspended, can I reactivate using my old SIM card?","If your line was suspended and you attempt to reactivate, you can use the same SIM card or eSIM and mobile number.

If your line is suspended, you can still dial 611 to connect directly with customer service for assistance in the reactivation process.",,Yes,"['Can I reactivate my Lyca Mobile line with my old SIM card?', 'Is it possible to restore service with the same SIM card after suspension?', 'How do I reactivate my Lyca Mobile line if it’s been suspended?', 'Can I use my previous SIM card to regain access to my Lyca Mobile account?', 'What steps should I follow to reactivate my suspended Lyca Mobile line?']","['Suspended line', 'SIM card reactivation', 'Account restoration', 'Reactivation process']",Usage
"My line was disconnected, how do I get it working again?","If your line was disconnected due to non-payment, you need to clear your dues within 30 days for your line to become active again. If you're using a SIM card, the same one will work. But if you are using an eSIM, you will need a new eSIM QR code. Please call our Lyca Mobile customer service at 1-866-277-3221 to request the same. Your number will remain the same if reconnected within 30 days.

After 30 days, all lines in your group can only be reconnected with new numbers and new SIM cards or eSIMs. Contact the customer support team for assistance with the next steps.",,Yes,"['How can I reconnect my Lyca Mobile line after disconnection?', 'What steps do I need to take to get my Lyca Mobile line working again?', 'Can I restore my Lyca Mobile service if my line is disconnected?', 'How do I reactivate a disconnected Lyca Mobile number?', 'What should I do if my Lyca Mobile line was disconnected?']","['Disconnected line', 'Service restoration', 'Lyca Mobile reactivation', 'Reconnecting number', 'Account recovery']",Usage
Is there a fee for reactivation?,"There is no reactivation fee. If your line is suspended, you can still dial 611 to connect directly with customer service for assistance in the reactivation process.",,Yes,"['Is there a fee to reactivate my Lyca Mobile line?', 'Do I need to pay for reactivating a suspended Lyca Mobile account?', 'Are there any charges associated with reactivating a Lyca Mobile service?', 'How much does it cost to reactivate a Lyca Mobile number?', 'Can I reactivate my Lyca Mobile line without a fee?']","['Reactivation fee', 'Lyca Mobile charges', 'Service restoration', 'Account reactivation', 'Suspended account']",Usage
How can I disconnect my line?,"If you wish the leave Lyca Mobile services, you can reach out to our Lyca Mobile customer service at 1-866-277-3221 for assistance in the process.",,Yes,"['How do I disconnect my Lyca Mobile line?', 'What steps do I need to follow to cancel my Lyca Mobile service?', 'Can I disconnect my Lyca Mobile number myself?', 'How can I deactivate my Lyca Mobile account?', 'What’s the process to disconnect my Lyca Mobile line?']","['Account cancellation', 'Line deactivation']",Usage
What is the process for reactivation after porting out my number?,"Once your number has been ported out, you can start using Lyca Mobile again by getting a new line. When activating the new line, just choose to bring your old number from your current carrier back to Lyca Mobile.",,Yes,"['What is the reactivation process after porting out my Lyca Mobile number?', 'Can I reactivate my Lyca Mobile line after porting out?', 'How do I reactivate a Lyca Mobile number that has been ported out?', 'Is it possible to restore my Lyca Mobile account after porting out my number?', 'What steps are needed to reactivate my line after a number port-out?']","['Reactivation process', 'Number porting']",Usage
Why am I not receiving any email updates?,"If you are not receiving any email updates on your registered email address, please check your 'Junk' or 'SPAM' folder. If that doesn't work or if you wish to change your notification email, you will have to contact the Lyca Mobile customer service at 1-866-277-3221. ",,Yes,"['Why am I not getting email updates from Lyca Mobile?', 'How can I fix issues with not receiving email updates from Lyca Mobile?', 'What should I do if I’m not receiving important emails from Lyca Mobile?', 'Can I update my email settings to receive Lyca Mobile notifications?', 'Why are my Lyca Mobile email notifications not coming through?']","['Email issues', 'Lyca Mobile notifications', 'Email settings', 'Missing updates', 'Email delivery problems']",Usage
How do I track my data usage? ,"You can check the data usage for all lines in your account through the Lyca Mobile app, or from the homepage of your account on our website or you can call the Lyca Mobile customer service at 1-866-277-3221.",,Yes,"['How can I monitor my data usage on Lyca Mobile?', 'What is the method to track my data consumption on Lyca Mobile?', 'How do I check my remaining data on Lyca Mobile?', 'Is there a way to view my data usage on Lyca Mobile?', 'Can I track my data usage directly from my Lyca Mobile account?']","['Data tracking', 'Lyca Mobile usage', 'Data consumption', 'Account monitoring', 'Data check']",Usage
What happens if I disconnect one of my lines from Lyca Mobile? ,"If you decide to disconnect your line from Lyca Mobile, you can appoint one of the other line holders to take over as the new account holder. Once you leave, they'll become responsible for managing the Lyca Mobile account, including all other lines.

If any lines are disconnected, their services will stop. Within the first 30 days, they have the option to reconnect or transfer their number to another carrier. After 30 days, the number will be released and reconnection won't be possible.

If the account holder disconnects their line without appointing a new account holder, or if the disconnection happens due to overdue payment, all lines in the account will be disconnected.",,Yes,"['What happens if I disconnect a line from my Lyca Mobile account?', 'Will I lose my number if I disconnect a line from Lyca Mobile?', 'How does disconnecting one line affect my Lyca Mobile account?', 'Can I disconnect a line from Lyca Mobile without affecting other lines?', 'What are the consequences of disconnecting a Lyca Mobile line?']","['Line disconnection', 'Account impact', 'Lyca Mobile services', 'Number retention', 'Multiple lines']",Usage
